id,drug,routes,label_rules,structured_rules,notes_from_extraction,dailymed_url,current_status,current_reviewer,decision,reviewer,review_date,notes
posaconazole:ORAL,Posaconazole,ORAL,All values: Oral dosing in mild to severe renal impairment: No renal dose adjustment usual adult schedule by indication,,Delayed-release tablet label states renal impairment does not significantly affect pharmacokinetics; monitor severe impairment for breakthrough infection.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=548124ce-8050-46a9-967b-ff23dfb18633,draft,,,,,
isavuconazonium:IV+ORAL,Isavuconazonium sulfate,"ORAL, IV",All values: Renal impairment including ESRD: No renal dose adjustment usual adult schedule by indication,,Label states no renal dose adjustment is necessary and no adjustment is warranted in ESRD.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8f7f73b8-586a-4df0-935f-fecd4696c16c,draft,,,,,
fosfomycin-disodium:IV,Fosfomycin disodium,IV,"> 50: Adults 18 years and older: 6 g every 8 hours
41-50: After 6 g loading dose; if on hemodialysis, administer after HD on HD days: 4 g every 8 hours
31-40: After 6 g loading dose; if on hemodialysis, administer after HD on HD days: 3 g every 8 hours
21-30: After 6 g loading dose; if on hemodialysis, administer after HD on HD days: 5 g every 24 hours
11-20: After 6 g loading dose; if on hemodialysis, administer after HD on HD days: 3 g every 24 hours
0-10: CLcr <=10 mL/min: No clean DailyMed adult maintenance dose row in this label; hemodialysis doses should be given after HD on HD days manual clinical review required",,CONTEPO adult IV cUTI label; all doses are infused over 1 hour and lower renal bands include a 6 g loading dose.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?audience=consumer&setid=855574f2-39f8-43bc-a3d2-79dbb578cb94,draft,,,,,
terbinafine:ORAL,Terbinafine,ORAL,"> 50: Renal function above label caution threshold: 250 mg once daily by indication duration
0-50: CrCl 50 mL/min or less: Use not recommended avoid per label",,Older full label text states oral tablets are not recommended when CrCl is 50 mL/min or less because use has not been adequately studied.,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?audience=consumer&setid=60452f7e-f971-428b-aa6a-9e2c15480bf3,draft,,,,,
colistimethate-sodium:IM+IV,Colistimethate sodium,"IV, IM",">= 80: Normal renal function: 2.5 to 5 mg/kg/day colistin base activity divided in 2 to 4 doses per day
50-79: Mild renal impairment: 2.5 to 3.8 mg/kg/day colistin base activity divided in 2 doses per day
30-49: Moderate renal impairment: 2.5 mg/kg/day colistin base activity once daily or divided in 2 doses per day
10-29: Severe renal impairment: 1.5 mg/kg colistin base activity every 36 hours",,Adult IV/IM table doses are expressed as colistin base activity and are based on ideal body weight in obesity.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8ec7dc90-825c-422e-9f4b-c8ace9d93af5,draft,,,,,
acyclovir:ORAL,Acyclovir,ORAL,"> 25: Normal regimen 200 mg every 4 hours: 200 mg every 4 hours, 5 times daily | Normal regimen 400 mg every 12 hours: 400 mg every 12 hours | Normal regimen 800 mg every 4 hours: 800 mg every 4 hours, 5 times daily
10-25: Normal regimen 200 mg every 4 hours: 200 mg every 4 hours, 5 times daily | Normal regimen 400 mg every 12 hours: 400 mg every 12 hours | Normal regimen 800 mg every 4 hours: 800 mg every 8 hours
0-10: Normal regimen 200 mg every 4 hours: 200 mg every 12 hours | Normal regimen 400 mg every 12 hours: 200 mg every 12 hours | Normal regimen 800 mg every 4 hours: 800 mg every 12 hours","> 25 [formulation=usual-200-q4h]: 200 mg every 4 hours, 5 times daily
> 25 [formulation=usual-400-q12h]: 400 mg every 12 hours
> 25 [formulation=usual-800-q4h]: 800 mg every 4 hours, 5 times daily
10-25 [formulation=usual-200-q4h]: 200 mg every 4 hours, 5 times daily
10-25 [formulation=usual-400-q12h]: 400 mg every 12 hours
10-25 [formulation=usual-800-q4h]: 800 mg every 8 hours
< 10 [formulation=usual-200-q4h]: 200 mg every 12 hours
< 10 [formulation=usual-400-q12h]: 200 mg every 12 hours
< 10 [formulation=usual-800-q4h]: 800 mg every 12 hours",Adult oral capsule/tablet renal table; select the row matching the normal dosage regimen.,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=69e5455e-d0be-4c2b-b9ab-458b5480ed57,draft,,,,,
valacyclovir:ORAL,Valacyclovir,ORAL,">= 50: All adult indications; if on hemodialysis, administer after HD on HD days: No renal dose adjustment usual adult schedule by indication
30-49: Cold sores; if on hemodialysis, administer after HD on HD days: 1 g twice in 1 day 12 hours apart | Genital herpes initial, recurrent, or suppression; if on hemodialysis, administer after HD on HD days: No reduction usual adult schedule | Herpes zoster; if on hemodialysis, administer after HD on HD days: 1 g every 12 hours
10-29: Cold sores; if on hemodialysis, administer after HD on HD days: 500 mg twice in 1 day 12 hours apart | Genital herpes initial episode; if on hemodialysis, administer after HD on HD days: 1 g every 24 hours | Genital herpes recurrent or suppression; if on hemodialysis, administer after HD on HD days: 500 mg every 24 hours | Herpes zoster; if on hemodialysis, administer after HD on HD days: 1 g every 24 hours
< 10: Cold sores; if on hemodialysis, administer after HD on HD days: 500 mg single dose | Genital herpes initial, recurrent, or suppression; if on hemodialysis, administer after HD on HD days: 500 mg every 24 hours | Herpes zoster; if on hemodialysis, administer after HD on HD days: 500 mg every 24 hours",">= 50 [dialysis=none, indication=cold-sores]: 2 g twice in 1 day 12 hours apart
>= 50 [dialysis=none, indication=initial-genital-herpes]: 1 g every 12 hours
>= 50 [dialysis=none, indication=recurrent-genital-herpes]: 500 mg every 12 hours
>= 50 [dialysis=none, indication=genital-suppression]: 500 mg to 1 g every 24 hours
>= 50 [dialysis=none, indication=transmission-reduction]: 500 mg every 24 hours
>= 50 [dialysis=none, indication=zoster]: 1 g every 8 hours
30-49 [dialysis=none, indication=cold-sores]: 1 g twice in 1 day 12 hours apart
30-49 [dialysis=none, indication=zoster]: 1 g every 12 hours
30-49 [dialysis=none]: No reduction usual adult schedule by indication
10-29 [dialysis=none, indication=cold-sores]: 500 mg twice in 1 day 12 hours apart
10-29 [dialysis=none, indication=initial-genital-herpes]: 1 g every 24 hours
10-29 [dialysis=none, indication=recurrent-genital-herpes]: 500 mg every 24 hours
10-29 [dialysis=none, indication=genital-suppression]: 500 mg every 24 to 48 hours by suppression regimen
10-29 [dialysis=none, indication=transmission-reduction]: 500 mg every 48 hours
10-29 [dialysis=none, indication=zoster]: 1 g every 24 hours
< 10 [dialysis=none, indication=cold-sores]: 500 mg single dose
< 10 [dialysis=none, indication=initial-genital-herpes]: 500 mg every 24 hours
< 10 [dialysis=none, indication=recurrent-genital-herpes]: 500 mg every 24 hours
< 10 [dialysis=none, indication=genital-suppression]: 500 mg every 24 to 48 hours by suppression regimen
< 10 [dialysis=none, indication=transmission-reduction]: 500 mg every 48 hours
< 10 [dialysis=none, indication=zoster]: 500 mg every 24 hours
All values [dialysis=hd]: Use renal-adjusted dose for CrCl band; give after HD on dialysis days review selected indication",Adult oral renal table has indication-specific regimens; do not exceed label durations.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4ab809f3-8898-463c-b55a-f452c87d0779,draft,,,,,
famciclovir:ORAL,Famciclovir,ORAL,">= 60: Recurrent genital herpes: 1000 mg every 12 hours for 1 day | Recurrent herpes labialis: 1500 mg single dose | Herpes zoster: 500 mg every 8 hours
40-59: Recurrent genital herpes: 500 mg every 12 hours for 1 day | Recurrent herpes labialis: 750 mg single dose | Herpes zoster: 500 mg every 12 hours | Recurrent orolabial/genital herpes in HIV: 500 mg every 12 hours
20-39: Recurrent genital herpes: 500 mg single dose | Recurrent herpes labialis: 500 mg single dose | Herpes zoster: 500 mg every 24 hours | Genital herpes suppression: 125 mg every 12 hours | Recurrent orolabial/genital herpes in HIV: 500 mg every 24 hours
< 20: Recurrent genital herpes: 250 mg single dose | Recurrent herpes labialis: 250 mg single dose | Herpes zoster: 250 mg every 24 hours | Genital herpes suppression: 125 mg every 24 hours | Recurrent orolabial/genital herpes in HIV: 250 mg every 24 hours | Hemodialysis; recurrent genital herpes: 250 mg single dose following dialysis | Hemodialysis; recurrent herpes labialis: 250 mg single dose following dialysis | Hemodialysis; herpes zoster: 250 mg following each dialysis | Hemodialysis; genital herpes suppression: 125 mg following each dialysis | Hemodialysis; recurrent orolabial/genital herpes in HIV: 250 mg following each dialysis",">= 60 [dialysis=none, indication=recurrent-genital-herpes]: 1000 mg every 12 hours for 1 day
>= 60 [dialysis=none, indication=herpes-labialis]: 1500 mg single dose
>= 60 [dialysis=none, indication=zoster]: 500 mg every 8 hours
>= 60 [dialysis=none, indication=genital-suppression]: 250 mg every 12 hours
>= 60 [dialysis=none, indication=hiv-recurrent-herpes]: 500 mg every 12 hours
40-59 [dialysis=none, indication=recurrent-genital-herpes]: 500 mg every 12 hours for 1 day
40-59 [dialysis=none, indication=herpes-labialis]: 750 mg single dose
40-59 [dialysis=none, indication=zoster]: 500 mg every 12 hours
40-59 [dialysis=none, indication=genital-suppression]: 250 mg every 12 hours
40-59 [dialysis=none, indication=hiv-recurrent-herpes]: 500 mg every 12 hours
20-39 [dialysis=none, indication=recurrent-genital-herpes]: 500 mg single dose
20-39 [dialysis=none, indication=herpes-labialis]: 500 mg single dose
20-39 [dialysis=none, indication=zoster]: 500 mg every 24 hours
20-39 [dialysis=none, indication=genital-suppression]: 125 mg every 12 hours
20-39 [dialysis=none, indication=hiv-recurrent-herpes]: 500 mg every 24 hours
< 20 [dialysis=none, indication=recurrent-genital-herpes]: 250 mg single dose
< 20 [dialysis=none, indication=herpes-labialis]: 250 mg single dose
< 20 [dialysis=none, indication=zoster]: 250 mg every 24 hours
< 20 [dialysis=none, indication=genital-suppression]: 125 mg every 24 hours
< 20 [dialysis=none, indication=hiv-recurrent-herpes]: 250 mg every 24 hours
All values [dialysis=hd, indication=recurrent-genital-herpes]: 250 mg single dose following dialysis
All values [dialysis=hd, indication=herpes-labialis]: 250 mg single dose following dialysis
All values [dialysis=hd, indication=zoster]: 250 mg following each dialysis
All values [dialysis=hd, indication=genital-suppression]: 125 mg following each dialysis
All values [dialysis=hd, indication=hiv-recurrent-herpes]: 250 mg following each dialysis",Adult renal table includes separate single-day and multiple-day regimens.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2c44b8d2-3b70-4e8b-af03-2e917178f761,draft,,,,,
oseltamivir:ORAL,Oseltamivir,ORAL,"> 60: Treatment: 75 mg twice daily for 5 days | Prophylaxis: 75 mg once daily
30.01-60: Treatment, CrCl >30-60 mL/min: 30 mg twice daily for 5 days | Prophylaxis, CrCl >30-60 mL/min: 30 mg once daily
10.01-30: Treatment, CrCl >10-30 mL/min: 30 mg once daily for 5 days | Prophylaxis, CrCl >10-30 mL/min: 30 mg every other day
0-10: ESRD on hemodialysis treatment: 30 mg immediately, then 30 mg after every hemodialysis cycle treatment duration not to exceed 5 days | ESRD on hemodialysis prophylaxis: 30 mg immediately, then 30 mg after alternate hemodialysis cycles per prophylaxis duration | ESRD on CAPD treatment: 30 mg single dose immediately | ESRD on CAPD prophylaxis: 30 mg immediately, then 30 mg once weekly for prophylaxis duration | ESRD not on dialysis: Not recommended do not use per label","> 60 [dialysis=none, indication=treatment]: 75 mg twice daily for 5 days
> 60 [dialysis=none, indication=prophylaxis]: 75 mg once daily
30-60 [dialysis=none, indication=treatment]: 30 mg twice daily for 5 days
30-60 [dialysis=none, indication=prophylaxis]: 30 mg once daily
10-30 [dialysis=none, indication=treatment]: 30 mg once daily for 5 days
10-30 [dialysis=none, indication=prophylaxis]: 30 mg every other day
All values [dialysis=hd, indication=treatment]: 30 mg immediately, then 30 mg after each HD cycle treatment duration not to exceed 5 days
All values [dialysis=hd, indication=prophylaxis]: 30 mg immediately, then 30 mg after alternate HD cycles per prophylaxis duration
All values [dialysis=capd, indication=treatment]: 30 mg single dose immediately
All values [dialysis=capd, indication=prophylaxis]: 30 mg immediately, then 30 mg once weekly
All values [dialysis=esrd-not-on-dialysis]: Not recommended not applicable",Adult renal table separates treatment and prophylaxis. ESRD dialysis regimens require dialysis-specific scheduling.,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b17fffc-5774-4b9b-8440-3a5295a34f89,draft,,,,,
valganciclovir:ORAL,Valganciclovir,ORAL,">= 60: Induction: 900 mg twice daily | Maintenance/prevention: 900 mg once daily
40-59: Induction: 450 mg twice daily | Maintenance/prevention: 450 mg once daily
25-39: Induction: 450 mg once daily | Maintenance/prevention: 450 mg every 2 days
10-24: Induction: 450 mg every 2 days | Maintenance/prevention: 450 mg twice weekly
< 10: Hemodialysis: Tablets not recommended no tablet dose recommendation",,Adult tablet renal table; monitor serum creatinine or estimated CrCl during therapy. Hemodialysis CrCl under 10 mL/min is not recommended for tablets.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6a6533fd-0579-4059-ba87-aa399829a8b0,draft,,,,,
ganciclovir:IV,Ganciclovir,IV,">= 70: Induction: 5 mg/kg every 12 hours | Maintenance: 5 mg/kg every 24 hours
50-69: Induction: 2.5 mg/kg every 12 hours | Maintenance: 2.5 mg/kg every 24 hours
25-49: Induction: 2.5 mg/kg every 24 hours | Maintenance: 1.25 mg/kg every 24 hours
10-24: Induction: 1.25 mg/kg every 24 hours | Maintenance: 0.625 mg/kg every 24 hours
< 10: Hemodialysis induction: 1.25 mg/kg 3 times per week following hemodialysis | Hemodialysis maintenance: 0.625 mg/kg 3 times per week following hemodialysis",,Adult IV induction and maintenance renal table for CMV retinitis treatment and transplant CMV prevention.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26361de8-39b5-4266-90f6-2b307940135d,draft,,,,,
atovaquone-proguanil:ORAL,Atovaquone and proguanil hydrochloride,ORAL,">= 30: Malaria prophylaxis: No renal dose adjustment usual adult prophylaxis schedule | Acute malaria treatment: No renal dose adjustment usual adult 3-day treatment schedule
< 30: Malaria prophylaxis: Contraindicated do not use per label | Acute malaria treatment: Use with caution only if benefits outweigh risks usual 3-day treatment schedule if used",,Adult malaria prophylaxis and treatment label; severe renal impairment differs by prophylaxis vs treatment.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57d74d71-8cf8-4b10-9420-22954fae623c,draft,,,,,
fidaxomicin:ORAL,Fidaxomicin,ORAL,All values: Renal impairment based on creatinine clearance: No renal dose adjustment usual adult schedule by indication,,Label states plasma concentrations did not vary by CrCl-based renal impairment severity and no renal dose adjustment is recommended.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd966338-c820-4270-b704-09ef75fa3ceb,draft,,,,,
rifampin:ORAL,Rifampin,ORAL,"All values: Renal failure, rifampin doses not exceeding 600 mg daily: No renal dose adjustment usual adult schedule by indication",,Label states no renal dose adjustment is required for renal failure at doses not exceeding 600 mg daily; higher-dose renal data are limited.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4905542c-83a5-4507-a7cf-94f827119c60,draft,,,,,
rifabutin:ORAL,Rifabutin,ORAL,">= 30: Mild to moderate renal impairment: No renal dose adjustment usual adult schedule by indication
< 30: Severe renal impairment: Consider reducing dose by 50% if toxicity is suspected usual interval unless reduced",,Label states no adjustment for mild to moderate renal impairment; severe renal impairment has toxicity-based dose-reduction language.,https://www.dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=25a60937-cbbe-4a50-994f-2ce15203f589&type=display,draft,,,,,
doxycycline:ORAL,Doxycycline hyclate,ORAL,"All values: Renal impairment, including severe renal insufficiency or hemodialysis pharmacokinetic context: No renal dose adjustment specified usual adult schedule by indication",,Adult oral doxycycline hyclate dosing; usual dose depends on infection indication and severity.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cec4368f-2852-443d-9d6f-7ba95807021b,draft,,,,,
vancomycin:IV,Vancomycin hydrochloride,IV,"All values: IV vancomycin with renal impairment or changing renal function: Source summary only DailyMed: use at least 15 mg/kg initial dose, then individualize using serum concentrations; review local AUC/trough protocol","All values [any]: Use at least 15 mg/kg initial dose, then individualize serum concentrations / local AUC/trough protocol",Adult IV vancomycin dosing is individualized; renal impairment dosing should be guided by serum concentrations and local AUC/trough monitoring policy.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8eccafe8-40c9-495a-872d-7f45a98ee759,draft,,,,,
tinidazole:ORAL,Tinidazole,ORAL,"All values: Severe renal impairment, CrCl less than 22 mL/min: No renal dose adjustment usual adult schedule by indication | Hemodialysis if dose is given same day before dialysis: Additional one-half of recommended dose after hemodialysis",,Label states no dose adjustment is necessary in severe renal impairment; hemodialysis supplemental dose is retained as a condition.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b39bc167-f1c4-4169-8b46-e6c2eafe6bbf,draft,,,,,
acyclovir-oral:ORAL,Acyclovir,ORAL,"> 25: 200 mg every 4 hours regimen: 200 mg every 4 hours, 5 times daily | 400 mg every 12 hours regimen: 400 mg every 12 hours | 800 mg every 4 hours regimen: 800 mg every 4 hours, 5 times daily
10-25: 200 mg every 4 hours regimen: 200 mg every 4 hours, 5 times daily | 400 mg every 12 hours regimen: 400 mg every 12 hours | 800 mg every 4 hours regimen: 800 mg every 8 hours
< 10: 200 mg every 4 hours regimen: 200 mg every 12 hours | 400 mg every 12 hours regimen: 200 mg every 12 hours | 800 mg every 4 hours regimen: 800 mg every 12 hours","> 25 [formulation=usual-200-q4h]: 200 mg every 4 hours, 5 times daily
> 25 [formulation=usual-400-q12h]: 400 mg every 12 hours
> 25 [formulation=usual-800-q4h]: 800 mg every 4 hours, 5 times daily
10-25 [formulation=usual-200-q4h]: 200 mg every 4 hours, 5 times daily
10-25 [formulation=usual-400-q12h]: 400 mg every 12 hours
10-25 [formulation=usual-800-q4h]: 800 mg every 8 hours
< 10 [formulation=usual-200-q4h]: 200 mg every 12 hours
< 10 [formulation=usual-400-q12h]: 200 mg every 12 hours
< 10 [formulation=usual-800-q4h]: 800 mg every 12 hours",Oral capsule/tablet regimens; renal adjustment differs by usual regimen.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8d9fea43-6c04-40d7-8aac-398c2de2a558&version=5,draft,,,,,
acyclovir-injection:IV,Acyclovir sodium,IV,"> 50: IV renal table: 100% of recommended dose every 8 hours
25-50: IV renal table: 100% of recommended dose every 12 hours
10-25: IV renal table: 100% of recommended dose every 24 hours
< 10: IV renal table: 50% of recommended dose every 24 hours","> 50 [any]: 100% of recommended dose every 8 hours
25-50 [any]: 100% of recommended dose every 12 hours
10-25 [any]: 100% of recommended dose every 24 hours
< 10 [any]: 50% of recommended dose every 24 hours",IV infusion; apply percent of recommended dose and interval by adult indication.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=23a7cf9e-f21b-06c2-e063-6394a90aa623,draft,,,,,
ganciclovir-injection:IV,Ganciclovir,IV,">= 70: Induction: 5 mg/kg every 12 hours | Maintenance/prevention: 5 mg/kg every 24 hours
50-69: Induction: 2.5 mg/kg every 12 hours | Maintenance/prevention: 2.5 mg/kg every 24 hours
25-49: Induction: 2.5 mg/kg every 24 hours | Maintenance/prevention: 1.25 mg/kg every 24 hours
10-24: Induction: 1.25 mg/kg every 24 hours | Maintenance/prevention: 0.625 mg/kg every 24 hours
< 10: Induction; hemodialysis: 1.25 mg/kg 3 times per week after hemodialysis | Maintenance/prevention; hemodialysis: 0.625 mg/kg 3 times per week after hemodialysis",,Adult CMV induction and maintenance/prevention dosing by renal function.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=69017374-ac20-4b8c-86c7-d35907046dce,draft,,,,,
peramivir:IV,Peramivir,IV,">= 50: Acute uncomplicated influenza: 600 mg single IV dose
30-49: Acute uncomplicated influenza: 200 mg single IV dose
10-29: Acute uncomplicated influenza: 100 mg single IV dose
All values: Chronic renal impairment maintained on hemodialysis: Use renal-function-adjusted adult dose single IV dose after dialysis",,Adult single-dose IV treatment for acute uncomplicated influenza.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fe04f6cd-e71c-4bd4-abac-97720bba2a0d,draft,,,,,
tenofovir-disoproxil-fumarate:ORAL,Tenofovir disoproxil fumarate,ORAL,">= 50: 300 mg tablet: 300 mg every 24 hours
30-49: 300 mg tablet: 300 mg every 48 hours
10-29: 300 mg tablet: 300 mg every 72 to 96 hours
< 10: Hemodialysis: 300 mg every 7 days or after about 12 hours of dialysis | Non-hemodialysis: No dosing recommendation CrCl <10 mL/min",,Adult 300 mg tablet interval adjustment; no recommendation for non-hemodialysis CrCl below 10 mL/min.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e122435e-cd0b-4c90-940a-b7a0d090d866,draft,,,,,
tenofovir-alafenamide:ORAL,Tenofovir alafenamide,ORAL,">= 15: Chronic hepatitis B: 25 mg once daily with food
< 15: ESRD receiving chronic hemodialysis: 25 mg once daily with food; after hemodialysis on dialysis days | ESRD not receiving chronic hemodialysis: Not recommended no recommended schedule",,VEMLIDY chronic HBV dosing; renal guidance differs for ESRD based on chronic hemodialysis.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=72e6b33c-0351-4070-9172-eeaa186c01d2,draft,,,,,
emtricitabine:ORAL,Emtricitabine,ORAL,">= 50: Capsule: 200 mg every 24 hours | Oral solution: 240 mg (24 mL) every 24 hours
30-49: Capsule: 200 mg every 48 hours | Oral solution: 120 mg (12 mL) every 24 hours
15-29: Capsule: 200 mg every 72 hours | Oral solution: 80 mg (8 mL) every 24 hours
< 15: Capsule; includes hemodialysis: 200 mg every 96 hours; after dialysis if given on dialysis day | Oral solution; includes hemodialysis: 60 mg (6 mL) every 24 hours; after dialysis if given on dialysis day",,Adult capsule and oral-solution renal interval adjustments.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d6599395-3944-44f9-97f2-e0424c6b6a1f,draft,,,,,
lamivudine:ORAL,Lamivudine,ORAL,">= 50: HIV treatment: 150 mg twice daily or 300 mg once daily usual adult schedule
30-49: HIV treatment: 150 mg once daily
15-29: HIV treatment: 150 mg first dose, then 100 mg once daily
5-14: HIV treatment: 150 mg first dose, then 50 mg once daily
< 5: HIV treatment: 50 mg first dose, then 25 mg once daily",,EPIVIR HIV dosing in adults/adolescents at least 25 kg; HBV product strengths differ and need separate review.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89226149-47fa-4f7d-bb1f-1aa7034486b8,draft,,,,,
entecavir:ORAL,Entecavir,ORAL,">= 50: Usual dose: 0.5 mg once daily | Lamivudine-refractory or decompensated liver disease: 1 mg once daily
30-49: Usual dose: 0.25 mg once daily or 0.5 mg every 48 hours | Lamivudine-refractory or decompensated liver disease: 0.5 mg once daily or 1 mg every 48 hours
10-29: Usual dose: 0.15 mg once daily or 0.5 mg every 72 hours | Lamivudine-refractory or decompensated liver disease: 0.3 mg once daily or 1 mg every 72 hours
< 10: Usual dose; hemodialysis or CAPD: 0.05 mg once daily or 0.5 mg every 7 days; after hemodialysis on dialysis days | Lamivudine-refractory or decompensated liver disease; hemodialysis or CAPD: 0.1 mg once daily or 1 mg every 7 days; after hemodialysis on dialysis days",,Adult HBV dosing; once-daily regimens preferred where label provides oral-solution doses.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=046e61c9-9298-4b2e-b76e-b26b81fecd20&version=42,draft,,,,,
adefovir:ORAL,Adefovir dipivoxil,ORAL,">= 50: Chronic hepatitis B: 10 mg every 24 hours
30-49: Chronic hepatitis B: 10 mg every 48 hours
10-29: Chronic hepatitis B: 10 mg every 72 hours
< 10: Hemodialysis: 10 mg every 7 days following dialysis | Non-hemodialysis: No dosing recommendation CrCl <10 mL/min",,Adult HBV dosing interval adjustment; no recommendation for non-hemodialysis CrCl below 10 mL/min.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=80595d45-2224-47d1-bd5c-4b11a824e5bd,draft,,,,,
nirmatrelvir-ritonavir:ORAL,Nirmatrelvir and ritonavir,ORAL,">= 60: COVID-19 treatment: 300 mg nirmatrelvir with 100 mg ritonavir twice daily for 5 days
30-59: Moderate renal impairment: 150 mg nirmatrelvir with 100 mg ritonavir twice daily for 5 days
< 30: Severe renal impairment or hemodialysis, Day 1: 300 mg nirmatrelvir with 100 mg ritonavir once on Day 1 | Severe renal impairment or hemodialysis, Days 2-5: 150 mg nirmatrelvir with 100 mg ritonavir once daily on Days 2-5; after hemodialysis on dialysis days",,COVID-19 5-day course; label uses eGFR rather than Cockcroft-Gault CrCl.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8a99d6d6-fd9e-45bb-b1bf-48c7f761232a,draft,,,,,
remdesivir:IV,Remdesivir,IV,All values: Renal impairment including dialysis: No renal dose adjustment usual adult schedule by indication,,COVID-19 IV dosing; renal impairment does not require dose adjustment.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c0978fa8-53ff-4ca2-82a7-567fd3e958ca&version=23,draft,,,,,
molnupiravir:ORAL,Molnupiravir,ORAL,All values: Renal impairment: No renal dose adjustment usual adult schedule by indication,,COVID-19 oral 5-day course; label states renal impairment does not require dose adjustment.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b0da643-ab23-4a0b-a9ec-a434522446d0,draft,,,,,
sofosbuvir-velpatasvir:ORAL,Sofosbuvir and velpatasvir,ORAL,All values: Renal impairment including dialysis: No renal dose adjustment usual adult schedule by HCV regimen,,"HCV combination; if used with ribavirin, ribavirin renal guidance must be reviewed separately.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?audience=consumer&setid=7f30631a-ee3b-4cfe-866b-964df3f0a44f,draft,,,,,
ledipasvir-sofosbuvir:ORAL,Ledipasvir and sofosbuvir,ORAL,All values: Renal impairment including dialysis: No renal dose adjustment usual adult schedule by HCV regimen,,"HCV combination; if used with ribavirin, ribavirin renal guidance must be reviewed separately.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f4ec77e4-bae8-4db0-b3d5-bde09c5fa075,draft,,,,,
sofosbuvir-velpatasvir-voxilaprevir:ORAL,"Sofosbuvir, velpatasvir, and voxilaprevir",ORAL,All values: Renal impairment including dialysis: No renal dose adjustment usual adult schedule by HCV regimen,,HCV retreatment combination; hepatic impairment restrictions are separate from renal guidance.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17ffc094-8ca7-45d2-80d8-fd043bc9a221,draft,,,,,
glecaprevir-pibrentasvir:ORAL,Glecaprevir and pibrentasvir,ORAL,All values: Renal impairment including dialysis: No renal dose adjustment usual adult schedule by HCV regimen,,HCV combination; hepatic impairment contraindications are separate from renal guidance.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7bf99777-0401-9095-8645-16c6e907fcc0,draft,,,,,
letermovir:IV+ORAL,Letermovir,"ORAL, IV","> 10: Renal impairment: No renal dose adjustment usual adult schedule; adjust separately if coadministered with cyclosporine
0-10: CLcr <=10 mL/min or dialysis: No dosing recommendation insufficient label data",,CMV prophylaxis; separate cyclosporine interaction dose adjustment still applies.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1b49df80-be4f-47e0-a0b7-123f3e69395b&version=28,draft,,,,,
sirolimus:ORAL,Sirolimus,ORAL,All values: Renal impairment: No renal dose adjustment usual adult schedule with therapeutic drug monitoring,,Immunosuppressant with therapeutic drug monitoring; renal impairment alone does not require adjustment.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5908cd1a-fc5a-462f-99ed-1d8983e253c9,draft,,,,,
